province_state,country_region,observation_date,continent,us_county,us_state,confirmed_total,deaths_total,recovered_total,confirmed_daily,deaths_daily,recovered_daily,latitude,longitude
,Nepal,2020-03-21 00:00:00+00,,,,1,0,1,0,0,0,28.1667,84.25
,Nepal,2020-03-22 00:00:00+00,,,,2,0,1,1,0,0,28.1667,84.25
,Nepal,2020-03-23 00:00:00+00,,,,2,0,1,0,0,0,28.1667,84.25
,Malaysia,2020-01-22 00:00:00+00,,,,0,0,0,0,0,0,2.5,112.5
,Malaysia,2020-01-23 00:00:00+00,,,,0,0,0,0,0,0,2.5,112.5
,Malaysia,2020-01-24 00:00:00+00,,,,0,0,0,0,0,0,2.5,112.5
,Malaysia,2020-01-25 00:00:00+00,,,,3,0,0,3,0,0,2.5,112.5
,Malaysia,2020-01-26 00:00:00+00,,,,4,0,0,1,0,0,2.5,112.5
,Malaysia,2020-01-27 00:00:00+00,,,,4,0,0,0,0,0,2.5,112.5
,Malaysia,2020-01-28 00:00:00+00,,,,4,0,0,0,0,0,2.5,112.5
,Malaysia,2020-01-29 00:00:00+00,,,,7,0,0,3,0,0,2.5,112.5
,Malaysia,2020-01-30 00:00:00+00,,,,8,0,0,1,0,0,2.5,112.5
,Malaysia,2020-01-31 00:00:00+00,,,,8,0,0,0,0,0,2.5,112.5
,Malaysia,2020-02-01 00:00:00+00,,,,8,0,0,0,0,0,2.5,112.5
,Malaysia,2020-02-02 00:00:00+00,,,,8,0,0,0,0,0,2.5,112.5
,Malaysia,2020-02-03 00:00:00+00,,,,8,0,0,0,0,0,2.5,112.5
,Malaysia,2020-02-04 00:00:00+00,,,,10,0,0,2,0,0,2.5,112.5
,Malaysia,2020-02-05 00:00:00+00,,,,12,0,0,2,0,0,2.5,112.5
,Malaysia,2020-02-06 00:00:00+00,,,,12,0,0,0,0,0,2.5,112.5
,Malaysia,2020-02-07 00:00:00+00,,,,12,0,1,0,0,1,2.5,112.5
,Malaysia,2020-02-08 00:00:00+00,,,,16,0,1,4,0,0,2.5,112.5
,Malaysia,2020-02-09 00:00:00+00,,,,16,0,1,0,0,0,2.5,112.5
,Malaysia,2020-02-10 00:00:00+00,,,,18,0,1,2,0,0,2.5,112.5
,Malaysia,2020-02-11 00:00:00+00,,,,18,0,3,0,0,2,2.5,112.5
,Malaysia,2020-02-12 00:00:00+00,,,,18,0,3,0,0,0,2.5,112.5
,Malaysia,2020-02-13 00:00:00+00,,,,19,0,3,1,0,0,2.5,112.5
,Malaysia,2020-02-14 00:00:00+00,,,,19,0,3,0,0,0,2.5,112.5
,Malaysia,2020-02-15 00:00:00+00,,,,22,0,7,3,0,4,2.5,112.5
,Malaysia,2020-02-16 00:00:00+00,,,,22,0,7,0,0,0,2.5,112.5
,Malaysia,2020-02-17 00:00:00+00,,,,22,0,7,0,0,0,2.5,112.5
,Malaysia,2020-02-18 00:00:00+00,,,,22,0,13,0,0,6,2.5,112.5
,Malaysia,2020-02-19 00:00:00+00,,,,22,0,15,0,0,2,2.5,112.5
,Malaysia,2020-02-20 00:00:00+00,,,,22,0,15,0,0,0,2.5,112.5
,Malaysia,2020-02-21 00:00:00+00,,,,22,0,15,0,0,0,2.5,112.5
,Malaysia,2020-02-22 00:00:00+00,,,,22,0,15,0,0,0,2.5,112.5
,Malaysia,2020-02-23 00:00:00+00,,,,22,0,15,0,0,0,2.5,112.5
,Malaysia,2020-02-24 00:00:00+00,,,,22,0,18,0,0,3,2.5,112.5
,Malaysia,2020-02-25 00:00:00+00,,,,22,0,18,0,0,0,2.5,112.5
,Malaysia,2020-02-26 00:00:00+00,,,,22,0,18,0,0,0,2.5,112.5
,Malaysia,2020-02-27 00:00:00+00,,,,23,0,18,1,0,0,2.5,112.5
